ID,著作权人,软著名称,登记号,登记日
1,丰疆智能软件科技（南京）有限公司,软著1,2020SR0415238,2020/5/7
2,丰疆智能软件科技（南京）有限公司,软著2,2020SR0415061,2020/5/7
3,丰疆智能软件科技（南京）有限公司,软著3,2020SR0415250,2020/5/7
4,丰疆智能软件科技（南京）有限公司,软著4,2020SR0415244,2020/5/7
5,丰疆智能软件科技（南京）有限公司,软著5,2020SR0415449,2020/5/7
6,丰疆智能软件科技（南京）有限公司,软著6,2019SR1341778,2019/12/11
7,丰疆智能软件科技（南京）有限公司,软著7,2019SR1411695,2019/12/23
8,丰疆智能软件科技（南京）有限公司,软著8,2019SR1441377,2019/12/26
9,丰疆智能软件科技（南京）有限公司,软著9,2019SR1411358,2019/12/23
10,丰疆智能软件科技（南京）有限公司,软著10,2019SR1411631,2019/12/23
11,丰疆智能软件科技（南京）有限公司,软著11,2019SR1411362,2019/12/23
12,丰疆智能（深圳）有限公司,软著12,2020SR1058503,2020/9/8
13,丰疆智能（深圳）有限公司,软著13,2020SR1059586,2020/9/8
14,丰疆智能（深圳）有限公司,软著14,2020SR1057315,2020/9/8
15,丰疆智能（深圳）有限公司,软著15,2020SR1035141,2020/9/3
16,丰疆智能（深圳）有限公司,软著16,2020SR1061831,2020/9/8
17,丰疆智能（深圳）有限公司,软著17,2020SR1057609,2020/9/8
18,丰疆智能（深圳）有限公司,软著18,2020SR1059592,2020/9/8
19,丰疆智能（深圳）有限公司,软著19,2020SR1059569,2020/9/8
20,丰疆智能（深圳）有限公司,软著20,2020SR1035133,2020/9/3
21,丰疆智能（深圳）有限公司,软著21,2020SR1041793,2020/9/4
22,丰疆智能科技研究院（常州）有限公司,软著22,2021SR0903099,2021/6/16
23,丰疆智能（深圳）有限公司,软著23,2021SR1032974,2021/7/13
24,丰疆智能科技研究院（常州）有限公司,软著24,2021SR1163273,2021/8/6
25,丰疆智能科技研究院（常州）有限公司,软著25,2021SR1484058,2021/10/11
26,丰疆智能（深圳）有限公司,软著26,2021SR1443708,2021/9/28
27,丰疆智能科技研究院（常州）有限公司,软著27,2021SR1648493,2021/11/5
28,丰疆智能（深圳）有限公司,软著28,2022SR0575815,2022/5/11
29,斯维垦智能科技（深圳）有限公司,软著29,2022SR0734386,2022/6/10
30,丰疆智能（深圳）有限公司,软著30,2022SR0670326,2022/5/30
31,丰疆智能科技研究院（常州）有限公司,软著31,2022SR0728560,2022/6/9
32,丰疆智能科技研究院（常州）有限公司,软著32,2022SR1394219,2022/10/10
33,丰疆智能（深圳）有限公司,软著33,2022SR1383197,2022/9/29
34,斯维垦智能科技（深圳）有限公司,软著34,2022SR1405153,2022/10/24
35,丰疆智能（深圳）有限公司,软著35,2022SR1415452,2022/10/25
36,丰疆智能（深圳）有限公司,软著36,2022SR1415164,2022/10/25
37,丰疆智能科技研究院（常州）有限公司,软著37,2022SR1473391,2022/11/4
38,丰疆智能（深圳）有限公司,软著38,2022SR1527084,2022/11/17
39,丰疆智能科技（福建）有限公司,软著39,2023SR0209977,2023/2/8
40,丰疆智能科技（福建）有限公司,软著40,2023SR0209978,2023/2/8
41,丰疆智能科技（福建）有限公司,软著41,2023SR0209976,2023/2/8
42,丰疆智能科技（福建）有限公司,软著42,2023SR0211590,2023/2/8
43,丰疆智能科技（福建）有限公司,软著43,2023SR0209988,2023/2/8
